the	【冠詞】楽器の前,場面や文脈からそれとわかるものの前,日付,唯一のもの	1	1207471
be	【基本動詞】ある,【助動詞】受け身を作る	2	928529
of	【前置詞】[起源]	3	607082
and	と,そして,【接続詞】そうすれば	4	597774
to	【前置詞】[到達点]	5	534442
a	【冠詞】1つの,1人の	6	492569
in	【前置詞】[広がり],【暗記法】at時間･on日/曜日･in年/月	7	410727
i	【代名詞】わたしは,わたしが	8	347939
that	あれ,あの,それ,【接続詞】名詞節を導く,同格を導く	9	339971
have	持っている,経験する,食べる,【助動詞】完了形を作る	10	258821
it	Information Technology,情報通信技術	11	255747
for	【前置詞】[目的への方向],【接続詞】というのは(文頭では使えない)	12	204989
you	【代名詞】あなたは,あなたがたは,あなたを,あなたがたを	13	179506
do	【基本動詞】する,役に立つ,【助動詞】疑問･否定･強調を作る	14	162482
with	【前置詞】[付帯]	15	150903
on	【前置詞】[接触]	16	142704
as	【接続詞】【前置詞】超多義語!基本は次の6つ【暗記法】	17	125405
but	【接続詞】しかし,【前置詞】～以外の,except	18	115609
they	【代名詞】彼らは,彼女らは,それらは	19	107041
at	【前置詞】[一点]	20	101255
by	【前置詞】[接近]←接触はしない	21	99089
he	【代名詞】彼は,彼が	22	98698
not	(文や語の否定)～でない	23	97397
this	【代名詞】これは,この人は,(電話で)こちらは,この,今の,現在の	24	96861
we	【代名詞】わたしたちは	25	96676
or	【接続詞】または,(命令文の後で)さもなくば	26	94235
from	【前置詞】[起点]	27	88691
know	を知っている	28	81377
say	【基本動詞】[イメージ:具体的な伝達内容に焦点],言う,たとえば,言い分,発言の機会,(the say)決定権	29	78853
an	【冠詞】1つの,1人の	30	74072
so	そのようにして,とても,それほど,【接続詞】そういうわけで	31	73225
uh	えーと(話がつかえた時など),huh	32	71834
like	を好む,が好きである	33	66459
all	すべての,全部の,【代名詞】すべて(のこと)	34	62668
get	【基本動詞】(1)(もの･こと)を得る,(2)(状態に)なる	35	62162
there	そこに,そこで	36	61531
his	【代名詞】彼の,彼のもの	37	59651
about	【前置詞】[近辺],について	38	59306
if	【接続詞】もし～なら,たとえ～でも,かどうか	39	57483
go	【基本動詞】[イメージ:本来を離れて別の場･状態に行く･至る]	40	56579
what	【代名詞】何,何の,(感嘆)何と,【間投詞】何だって?	41	56061
just	ちょうど,まさに,たった今,ただ～だけ	42	56027
yeah	yes	43	54594
think	と思う,考える	44	54471
my	【代名詞】私の	45	53487
would	【助動詞】willの過去形	46	51881
more	より多くの,【代名詞】もっと多くのこと	47	50732
time	時刻,時間,回,(times)時代,時勢	48	49408
can	【助動詞】[能力･許可･依頼･可能性],【名詞】缶	49	47505
when	いつ,【接続詞】の時に,だけれども,するときはいつでも,～ならば	50	47382
WHO	World Health Organization,世界保健機関	51	46483
out	【副詞】[外への移動]	52	45482
use	を使う,使用	53	45307
which	どちらの,【代名詞】どちら	54	45149
